Age,Gender,Education Level,Job Title,Years of Experience,Company Tier,Salary
38,Female,PhD,Doctor,16,Mid-size,7416279
47,Male,Masters,Lawyer,25,MNC,7143639
25,Male,Bachelors,Lawyer,3,MNC,3161266
50,Male,PhD,Data Scientist,26,Startup,5495358
57,Female,High School,Data Scientist,35,Mid-size,2334398
56,Male,High School,Data Scientist,35,MNC,3387049
53,Female,Masters,Doctor,29,MNC,10452472
33,Female,PhD,Software Engineer,12,Mid-size,2250829
56,Female,Bachelors,Teacher,35,Startup,1248847
41,Male,PhD,Doctor,17,Startup,5684336
40,Male,PhD,Lawyer,19,Mid-size,6906727
49,Male,High School,Lawyer,27,Startup,4583798
37,Female,PhD,Teacher,16,Mid-size,1383554
42,Male,Masters,Software Engineer,18,Startup,2477619
33,Female,PhD,Doctor,12,Mid-size,7651353
59,Female,PhD,Accountant,36,Startup,3168962
30,Female,Masters,Doctor,8,MNC,4765384
29,Male,Masters,Teacher,5,Mid-size,776490
25,Male,High School,Doctor,1,Startup,1643685
48,Female,High School,Doctor,26,Mid-size,4788288
49,Male,Masters,Teacher,27,Mid-size,1465226
22,Male,Masters,Lawyer,0,MNC,2779915
46,Male,Bachelors,Doctor,22,MNC,6926698
53,Female,PhD,Teacher,32,MNC,2691290
58,Female,Masters,Teacher,34,Mid-size,1783475
39,Male,Masters,Accountant,16,MNC,2870148
52,Male,Masters,Lawyer,31,Mid-size,8060028
37,Male,High School,Data Scientist,14,MNC,1993234
29,Male,Masters,Doctor,7,Startup,3595616
49,Male,PhD,Software Engineer,25,Mid-size,2585131
48,Male,High School,Data Scientist,26,MNC,2521453
50,Female,High School,Doctor,29,MNC,6984752
51,Female,PhD,Teacher,29,Startup,1729841
54,Male,High School,Software Engineer,32,MNC,1894737
46,Female,Bachelors,Lawyer,24,MNC,5921457
54,Female,High School,Software Engineer,32,Mid-size,2016501
26,Female,PhD,Data Scientist,4,MNC,2769030
58,Female,Bachelors,Accountant,36,MNC,3285636
35,Female,PhD,Accountant,14,MNC,2917466
53,Female,PhD,Doctor,31,Startup,9229139
47,Male,Bachelors,Accountant,25,Startup,2727663
33,Male,Bachelors,Data Scientist,12,Mid-size,2509033
51,Male,PhD,Software Engineer,28,Mid-size,2969796
44,Male,High School,Teacher,21,Startup,1103914
32,Female,PhD,Data Scientist,9,Startup,2944393
55,Male,High School,Accountant,33,Mid-size,2541139
36,Male,High School,Data Scientist,13,MNC,1854369
59,Female,Bachelors,Teacher,38,Mid-size,1722932
38,Female,Bachelors,Lawyer,17,MNC,4890734
38,Female,Bachelors,Software Engineer,16,Mid-size,1337791
23,Female,PhD,Doctor,2,Startup,3511914
32,Female,PhD,Doctor,9,Startup,4744139
37,Male,Bachelors,Doctor,14,MNC,5411823
25,Female,High School,Software Engineer,1,MNC,819857
53,Female,High School,Accountant,30,MNC,2281381
40,Male,High School,Teacher,19,Startup,725443
43,Female,High School,Lawyer,22,Startup,5126695
33,Female,High School,Teacher,11,MNC,635156
47,Male,Masters,Teacher,26,Mid-size,1653586
51,Female,Bachelors,Teacher,28,Startup,1346508
56,Male,Bachelors,Accountant,35,Mid-size,2801439
43,Female,High School,Doctor,21,MNC,5487345
45,Male,High School,Doctor,23,MNC,5330305
44,Female,PhD,Data Scientist,22,MNC,5112522
36,Female,Masters,Lawyer,12,Startup,2795823
31,Female,High School,Teacher,8,Startup,441928
47,Female,PhD,Data Scientist,25,Startup,5829163
24,Male,Masters,Data Scientist,3,MNC,1841380
43,Male,Bachelors,Teacher,21,MNC,1678760
40,Male,Masters,Software Engineer,18,MNC,1865143
47,Male,Bachelors,Software Engineer,23,MNC,2156740
27,Male,High School,Lawyer,6,MNC,2084815
25,Female,Masters,Software Engineer,3,Mid-size,894430
52,Male,High School,Lawyer,28,Mid-size,3757730
57,Female,Masters,Accountant,33,Startup,2605898
49,Male,Masters,Teacher,26,Mid-size,1596746
51,Male,High School,Software Engineer,27,Startup,1864374
23,Male,PhD,Data Scientist,0,MNC,2526930
26,Male,Bachelors,Doctor,4,Mid-size,2938617
33,Female,Masters,Accountant,10,Startup,1972439
59,Male,Bachelors,Lawyer,38,Startup,6862424
34,Male,PhD,Data Scientist,11,Startup,2487568
31,Male,High School,Data Scientist,10,Startup,1561747
22,Male,Bachelors,Teacher,0,MNC,676090
32,Male,High School,Data Scientist,9,Mid-size,1117914
51,Female,Bachelors,Teacher,28,MNC,1552155
33,Male,PhD,Doctor,10,Startup,6382198
43,Female,High School,Teacher,19,Startup,807662
58,Male,PhD,Software Engineer,36,Mid-size,4074817
58,Female,Bachelors,Doctor,37,Startup,7312869
25,Male,High School,Software Engineer,4,Mid-size,803498
29,Female,Masters,Lawyer,6,MNC,3674184
59,Female,Masters,Data Scientist,38,Startup,4925380
46,Male,High School,Accountant,25,Startup,1826091
35,Male,Masters,Lawyer,14,Mid-size,4511670
27,Female,PhD,Lawyer,5,Startup,3656392
36,Male,PhD,Accountant,13,Startup,3348100
48,Male,Masters,Doctor,24,MNC,9797766
54,Male,High School,Data Scientist,32,Startup,2625127
26,Male,High School,Data Scientist,3,Startup,914295
34,Male,PhD,Teacher,11,MNC,1203177
36,Male,Bachelors,Data Scientist,15,Mid-size,2632396
25,Male,Masters,Teacher,1,Mid-size,813923
47,Female,Masters,Doctor,24,Mid-size,7628764
31,Female,Bachelors,Data Scientist,7,Startup,1279176
47,Female,High School,Accountant,25,Mid-size,1762535
39,Male,Bachelors,Software Engineer,18,Startup,1597962
33,Female,Bachelors,Software Engineer,9,MNC,1497966
58,Male,High School,Lawyer,34,Mid-size,5159832
52,Male,High School,Data Scientist,30,MNC,2799055
57,Male,Bachelors,Data Scientist,35,MNC,4492951
36,Male,Masters,Accountant,15,Mid-size,1987010
31,Female,Bachelors,Lawyer,7,Mid-size,2930999
56,Female,Masters,Lawyer,33,Startup,7192263
59,Female,Bachelors,Teacher,37,Startup,846053
48,Female,PhD,Accountant,27,Mid-size,3435496
45,Male,Masters,Software Engineer,24,Mid-size,1889566
45,Male,High School,Teacher,24,Startup,924933
43,Male,High School,Accountant,21,Startup,1350200
49,Female,PhD,Lawyer,26,Startup,7412240
22,Male,High School,Lawyer,0,Startup,1349869
40,Male,High School,Doctor,18,Startup,3594117
50,Male,Masters,Accountant,28,Startup,3285118
22,Female,PhD,Lawyer,0,Startup,3149954
49,Female,High School,Data Scientist,28,Mid-size,1929466
25,Male,Bachelors,Data Scientist,4,Mid-size,1325376
24,Male,High School,Accountant,0,Mid-size,696847
55,Male,PhD,Teacher,31,MNC,2258036
24,Male,PhD,Data Scientist,0,Startup,1397372
29,Male,Masters,Accountant,7,MNC,1501890
54,Female,PhD,Lawyer,30,Startup,7386941
53,Female,Bachelors,Teacher,29,Mid-size,1407642
37,Female,PhD,Software Engineer,13,Mid-size,1690136
39,Male,Masters,Doctor,16,Mid-size,6764335
42,Female,PhD,Teacher,19,MNC,2260550
22,Female,High School,Software Engineer,0,Startup,428706
23,Female,Bachelors,Teacher,0,Mid-size,464575
26,Female,Masters,Doctor,5,MNC,3662109
55,Female,Bachelors,Teacher,34,MNC,1731129
43,Female,PhD,Lawyer,19,MNC,7591582
53,Male,Bachelors,Lawyer,32,Startup,5301015
30,Male,Masters,Software Engineer,6,MNC,1650368
30,Female,High School,Lawyer,8,Mid-size,2374911
47,Female,High School,Accountant,25,Mid-size,1792293
58,Male,PhD,Teacher,35,MNC,3383401
57,Male,PhD,Teacher,36,Startup,2226038
46,Male,Bachelors,Data Scientist,24,MNC,3399789
43,Male,Masters,Doctor,22,Mid-size,6042564
48,Male,PhD,Doctor,24,MNC,10452079
28,Male,Bachelors,Doctor,6,Mid-size,3645196
49,Male,PhD,Doctor,27,MNC,12280552
22,Female,Masters,Data Scientist,0,MNC,1513980
50,Male,Bachelors,Teacher,29,Startup,1483617
57,Male,High School,Software Engineer,36,Startup,2425257
55,Male,High School,Data Scientist,32,Mid-size,2742595
26,Female,PhD,Data Scientist,2,MNC,1998437
38,Male,Masters,Teacher,16,MNC,1700839
30,Male,Masters,Doctor,9,MNC,4358272
46,Female,Bachelors,Software Engineer,23,MNC,1992541
38,Male,PhD,Software Engineer,16,Startup,2901337
33,Male,High School,Doctor,11,MNC,4486436
58,Male,Bachelors,Teacher,36,MNC,1901294
39,Female,PhD,Data Scientist,18,Startup,4719858
47,Male,Masters,Lawyer,24,Startup,5277270
38,Male,High School,Doctor,15,Startup,3891379
28,Female,Masters,Lawyer,6,MNC,3332451
29,Male,Masters,Accountant,7,Startup,1729961
52,Male,Masters,Teacher,30,Startup,1552776
38,Female,PhD,Data Scientist,16,Startup,2777701
55,Male,PhD,Lawyer,32,MNC,11340397
44,Male,PhD,Doctor,20,MNC,11501163
25,Male,Bachelors,Data Scientist,4,Mid-size,1604607
54,Female,PhD,Lawyer,30,Mid-size,8218518
23,Male,Bachelors,Doctor,0,Startup,2341396
34,Female,Bachelors,Data Scientist,13,Startup,2049412
50,Male,Bachelors,Lawyer,28,Startup,6528864
31,Male,Bachelors,Software Engineer,9,Startup,711747
26,Female,Masters,Data Scientist,5,Mid-size,1586228
35,Female,High School,Software Engineer,11,Mid-size,804165
58,Male,Masters,Lawyer,37,Startup,7551569
36,Male,PhD,Teacher,15,Startup,1334818
25,Female,PhD,Accountant,1,MNC,1466101
45,Male,Bachelors,Accountant,22,Mid-size,2031117
29,Male,Masters,Doctor,5,Mid-size,4034507
31,Male,High School,Accountant,8,MNC,1143539
24,Male,Bachelors,Doctor,0,MNC,2888611
44,Female,Bachelors,Lawyer,23,Mid-size,4993649
56,Female,High School,Accountant,34,Mid-size,2038134
24,Male,Masters,Lawyer,0,Startup,2594439
46,Male,Masters,Software Engineer,25,MNC,2232393
49,Male,PhD,Accountant,28,Mid-size,3932910
46,Female,PhD,Data Scientist,25,MNC,5417553
36,Male,High School,Lawyer,14,Mid-size,2608018
47,Male,Masters,Teacher,25,Mid-size,1493878
38,Female,High School,Teacher,16,Startup,324950
50,Male,Masters,Teacher,27,Startup,1608681
55,Male,Bachelors,Teacher,31,Startup,1128228
27,Male,High School,Software Engineer,3,MNC,967022
54,Male,High School,Software Engineer,31,Startup,1950566
46,Male,Bachelors,Lawyer,25,Mid-size,5678056
59,Male,Masters,Lawyer,35,MNC,8433661
51,Male,Masters,Teacher,28,MNC,1882176
35,Male,Bachelors,Lawyer,14,Startup,3334331
53,Male,Bachelors,Teacher,32,MNC,1774150
38,Male,Masters,Teacher,14,Mid-size,990900
45,Female,High School,Teacher,24,MNC,1122442
51,Male,Masters,Doctor,28,Mid-size,8295877
49,Female,PhD,Teacher,25,Mid-size,1815466
43,Male,Bachelors,Software Engineer,19,MNC,1844702
25,Male,Masters,Data Scientist,2,MNC,1739687
38,Male,PhD,Doctor,16,Mid-size,7535936
39,Male,High School,Doctor,17,Startup,4874866
33,Male,Bachelors,Lawyer,10,MNC,3598191
32,Female,High School,Teacher,10,MNC,746617
56,Male,PhD,Software Engineer,35,Startup,4209142
50,Female,Bachelors,Doctor,29,Mid-size,6443536
35,Male,Masters,Accountant,11,MNC,2152769
38,Male,Bachelors,Lawyer,16,MNC,3868010
42,Male,High School,Data Scientist,19,MNC,2222683
27,Male,Bachelors,Teacher,4,Mid-size,634452
36,Female,Bachelors,Data Scientist,14,Mid-size,2109592
36,Male,PhD,Doctor,12,MNC,8405509
46,Male,High School,Data Scientist,25,Mid-size,1829288
28,Female,Masters,Doctor,5,Mid-size,3920548
45,Male,Bachelors,Doctor,21,Mid-size,7030316
41,Male,PhD,Teacher,17,Startup,1295337
43,Female,Bachelors,Teacher,21,Startup,1007887
29,Male,Masters,Lawyer,6,MNC,3819353
39,Female,Bachelors,Accountant,17,MNC,2274066
59,Male,PhD,Doctor,38,MNC,14830055
45,Female,PhD,Data Scientist,24,Startup,3687090
43,Female,Bachelors,Teacher,19,Startup,1291893
53,Male,High School,Software Engineer,31,MNC,1652994
54,Female,High School,Lawyer,33,Mid-size,4153258
47,Female,High School,Teacher,25,MNC,1055507
36,Male,Bachelors,Teacher,14,Startup,908447
32,Female,Masters,Teacher,11,Mid-size,1068860
29,Male,Masters,Software Engineer,5,Mid-size,1300010
28,Female,PhD,Teacher,5,Mid-size,1088069
43,Male,PhD,Software Engineer,21,Mid-size,2627044
35,Female,High School,Teacher,12,Startup,829788
33,Male,Bachelors,Teacher,12,MNC,1085768
40,Female,Masters,Software Engineer,17,MNC,2171633
50,Male,Bachelors,Data Scientist,27,Mid-size,2841082
39,Female,Bachelors,Data Scientist,17,Mid-size,2213185
53,Male,High School,Data Scientist,29,MNC,2999461
31,Female,High School,Data Scientist,8,MNC,1518160
36,Female,High School,Software Engineer,15,Startup,1064487
42,Female,Masters,Accountant,19,MNC,2608625
58,Female,Bachelors,Software Engineer,34,Startup,2638074
45,Female,High School,Doctor,23,Startup,5163685
57,Female,PhD,Lawyer,35,MNC,12435187
23,Male,High School,Teacher,0,MNC,518658
33,Female,High School,Data Scientist,10,Startup,1901597
36,Male,High School,Doctor,15,MNC,4318438
51,Male,PhD,Accountant,28,MNC,4855208
23,Male,Masters,Accountant,0,MNC,1205683
35,Male,High School,Doctor,11,MNC,4663823
27,Male,PhD,Software Engineer,6,Startup,1708654
23,Female,High School,Lawyer,0,Startup,1122513
33,Male,PhD,Teacher,9,Startup,918396
52,Female,High School,Accountant,29,Mid-size,1988430
37,Male,Bachelors,Lawyer,15,MNC,4349808
22,Male,High School,Teacher,1,Mid-size,376821
22,Male,Bachelors,Lawyer,1,Startup,1625964
58,Male,Masters,Doctor,35,Mid-size,11050755
49,Male,Bachelors,Doctor,26,Mid-size,6542280
41,Male,Masters,Data Scientist,19,Startup,2500847
58,Female,High School,Accountant,37,MNC,2965776
41,Male,PhD,Data Scientist,20,Mid-size,4257668
55,Male,Masters,Lawyer,34,MNC,8816640
52,Female,High School,Data Scientist,28,MNC,3246053
59,Female,High School,Accountant,35,Startup,1927678
42,Female,PhD,Doctor,21,Startup,8030114
59,Female,PhD,Software Engineer,38,Mid-size,3710004
39,Male,Bachelors,Data Scientist,18,Mid-size,2400883
33,Female,High School,Lawyer,10,MNC,2882443
54,Female,Bachelors,Software Engineer,33,Mid-size,1940620
26,Male,PhD,Data Scientist,5,Startup,2045362
27,Male,High School,Accountant,4,Mid-size,893661
34,Male,PhD,Software Engineer,13,MNC,2406513
32,Male,Masters,Doctor,8,Mid-size,5038639
25,Female,High School,Lawyer,3,Startup,1716552
34,Male,Masters,Teacher,13,MNC,1271964
22,Male,Bachelors,Data Scientist,0,Mid-size,1022581
42,Male,PhD,Lawyer,19,MNC,9423817
36,Female,Masters,Accountant,15,Mid-size,1551468
54,Male,Bachelors,Data Scientist,33,MNC,4310021
59,Female,Masters,Doctor,37,Startup,7776327
35,Male,Masters,Lawyer,13,Startup,4655924
42,Male,High School,Teacher,20,Mid-size,822069
57,Female,Masters,Data Scientist,34,Startup,3513885
42,Male,Masters,Doctor,19,MNC,7870468
36,Female,Masters,Doctor,15,Startup,5132450
25,Female,PhD,Data Scientist,4,MNC,2373491
35,Female,PhD,Lawyer,14,Startup,6923200
48,Male,Masters,Data Scientist,27,Mid-size,4065594
37,Female,Masters,Lawyer,15,MNC,5581579
34,Female,Bachelors,Software Engineer,10,MNC,1553707
28,Male,Masters,Teacher,5,Startup,769767
52,Male,High School,Doctor,29,Startup,5845544
57,Female,PhD,Software Engineer,33,MNC,4281587
22,Male,PhD,Doctor,0,Mid-size,3852207
34,Male,Masters,Doctor,11,MNC,7396367
49,Male,High School,Teacher,28,Mid-size,1231079
45,Female,High School,Accountant,23,Mid-size,1599594
45,Male,Masters,Accountant,21,Mid-size,2262802
25,Male,High School,Software Engineer,3,Startup,743285
31,Female,High School,Doctor,10,Startup,2902928
54,Male,Masters,Data Scientist,31,MNC,4540377
56,Female,High School,Doctor,32,Mid-size,5696938
38,Female,Bachelors,Lawyer,16,Startup,3462534
49,Male,High School,Lawyer,26,MNC,4428384
35,Male,PhD,Data Scientist,14,Mid-size,4148008
23,Male,PhD,Lawyer,0,Mid-size,2825687
24,Female,Masters,Software Engineer,2,Mid-size,980469
32,Female,PhD,Software Engineer,9,Mid-size,1751097
25,Female,High School,Lawyer,3,Startup,1639106
57,Male,Bachelors,Data Scientist,33,Startup,4593846
30,Male,PhD,Accountant,6,Startup,1310998
25,Male,High School,Accountant,4,Startup,684656
26,Male,High School,Doctor,2,Startup,1768661
59,Female,PhD,Software Engineer,35,MNC,5237999
24,Male,High School,Data Scientist,2,MNC,1486900
55,Male,Bachelors,Doctor,32,Mid-size,7003394
57,Male,Bachelors,Doctor,36,MNC,8800417
37,Female,High School,Accountant,15,Mid-size,1142899
37,Male,High School,Accountant,13,MNC,1385521
41,Male,Bachelors,Software Engineer,18,MNC,1730263
26,Male,Masters,Software Engineer,2,Mid-size,1090597
51,Male,Masters,Accountant,30,MNC,3354753
29,Female,Bachelors,Doctor,6,Startup,3712497
33,Female,High School,Teacher,11,Mid-size,596276
23,Female,High School,Teacher,2,Mid-size,406160
44,Female,Masters,Accountant,22,Startup,3059644
56,Male,PhD,Software Engineer,34,Mid-size,3693265
58,Male,PhD,Data Scientist,34,Startup,5484388
56,Female,PhD,Teacher,34,MNC,3008319
35,Female,High School,Accountant,14,Startup,1081719
35,Female,PhD,Software Engineer,11,Startup,2119767
23,Male,Masters,Data Scientist,2,Startup,894244
52,Female,Bachelors,Doctor,30,MNC,8535907
56,Male,Masters,Software Engineer,35,Mid-size,3146676
55,Female,PhD,Software Engineer,31,Startup,2463072
36,Male,Bachelors,Lawyer,12,Mid-size,2947548
52,Male,Masters,Software Engineer,30,MNC,3165222
27,Female,Masters,Doctor,3,Mid-size,3010868
44,Male,PhD,Doctor,21,Mid-size,7630757
55,Female,Masters,Accountant,33,MNC,3029020
52,Male,Masters,Software Engineer,28,Mid-size,1932462
30,Male,Masters,Teacher,7,Mid-size,773294
37,Male,PhD,Software Engineer,13,MNC,3093156
38,Female,High School,Teacher,17,MNC,940906
57,Male,Masters,Software Engineer,33,Startup,3080962
58,Female,Bachelors,Doctor,34,Mid-size,7008497
56,Male,Bachelors,Doctor,33,Startup,6702393
28,Female,PhD,Lawyer,7,Startup,4257082
23,Female,High School,Lawyer,1,MNC,1780318
36,Male,PhD,Lawyer,15,Mid-size,5761549
26,Female,PhD,Lawyer,5,Mid-size,3686756
42,Male,High School,Accountant,21,Mid-size,1498714
32,Male,PhD,Software Engineer,9,Startup,1364211
47,Female,Bachelors,Doctor,25,MNC,6374622
39,Female,PhD,Teacher,15,MNC,1977589
50,Female,High School,Teacher,28,Startup,1081192
38,Male,High School,Teacher,14,MNC,821534
50,Female,Bachelors,Teacher,29,Mid-size,1415135
32,Male,PhD,Software Engineer,9,MNC,2354592
29,Female,Masters,Doctor,8,MNC,5009480
45,Female,Masters,Teacher,24,Startup,1385999
22,Male,High School,Data Scientist,0,Startup,786102
44,Female,Bachelors,Accountant,21,Mid-size,2095296
56,Male,High School,Teacher,32,Startup,1106285
52,Male,High School,Data Scientist,30,MNC,2374611
26,Male,Bachelors,Lawyer,4,MNC,2658199
49,Female,High School,Teacher,28,Startup,1081969
46,Female,High School,Data Scientist,25,Mid-size,1902954
57,Female,Masters,Software Engineer,35,MNC,3115580
46,Male,PhD,Teacher,24,Mid-size,2035095
31,Male,Bachelors,Teacher,10,MNC,854955
23,Female,Bachelors,Lawyer,1,Startup,1929491
37,Female,PhD,Data Scientist,13,Startup,2646634
31,Female,PhD,Data Scientist,8,Startup,2380293
30,Female,High School,Data Scientist,9,Startup,1170022
46,Female,PhD,Doctor,24,Startup,8716137
42,Male,Masters,Teacher,19,Startup,1169761
33,Female,High School,Lawyer,12,MNC,3422624
42,Male,PhD,Teacher,20,Mid-size,1935719
28,Female,Masters,Data Scientist,5,Mid-size,1660143
43,Female,Masters,Software Engineer,21,MNC,2203826
48,Male,Bachelors,Data Scientist,26,Mid-size,2454056
45,Female,Bachelors,Data Scientist,21,Mid-size,2870169
54,Female,Bachelors,Data Scientist,30,MNC,3546968
44,Female,High School,Data Scientist,23,Startup,1906050
46,Male,High School,Data Scientist,22,Startup,1674378
37,Male,High School,Doctor,13,Startup,3631487
22,Male,PhD,Lawyer,0,MNC,3265125
55,Female,Bachelors,Lawyer,32,Startup,5539423
48,Male,High School,Lawyer,25,Mid-size,4094935
30,Male,High School,Doctor,6,Mid-size,2906727
33,Male,Masters,Lawyer,12,Startup,4803900
37,Female,Bachelors,Teacher,14,Startup,965198
40,Male,High School,Teacher,19,Mid-size,764250
25,Female,Bachelors,Accountant,1,Startup,750726
47,Female,High School,Doctor,26,MNC,5504555
41,Male,High School,Doctor,20,MNC,6478261
35,Female,PhD,Software Engineer,12,Mid-size,1837453
25,Male,PhD,Teacher,1,MNC,1190692
39,Female,High School,Accountant,16,MNC,1525800
40,Female,Bachelors,Accountant,18,Startup,2176046
59,Female,PhD,Doctor,38,Mid-size,14368829
57,Female,PhD,Accountant,35,MNC,3903921
39,Female,Bachelors,Teacher,16,MNC,983945
32,Female,PhD,Data Scientist,11,Startup,3087816
38,Male,Bachelors,Accountant,16,Mid-size,1925628
48,Female,Masters,Teacher,25,MNC,1737243
32,Female,High School,Accountant,9,Mid-size,1293536
31,Male,Bachelors,Data Scientist,9,Startup,1705926
51,Male,Bachelors,Teacher,29,Startup,1841245
40,Male,PhD,Lawyer,18,Startup,6164487
26,Male,High School,Accountant,5,Mid-size,608803
42,Female,Masters,Accountant,20,MNC,2738549
47,Female,Masters,Doctor,23,MNC,8292784
57,Female,Masters,Teacher,35,Startup,1525000
41,Male,PhD,Data Scientist,17,Startup,3455671
45,Female,Bachelors,Doctor,21,MNC,5595153
35,Male,Masters,Doctor,11,MNC,6105606
52,Female,PhD,Lawyer,30,MNC,10054526
30,Female,Bachelors,Data Scientist,9,Startup,2293373
42,Male,High School,Accountant,18,MNC,1692276
27,Female,High School,Teacher,4,Mid-size,446098
32,Female,PhD,Lawyer,8,Startup,4765159
35,Male,PhD,Lawyer,14,MNC,6733537
26,Female,High School,Teacher,3,Mid-size,455859
40,Female,High School,Data Scientist,17,Startup,1808631
54,Female,High School,Software Engineer,32,MNC,2263923
28,Male,Masters,Data Scientist,6,Mid-size,2443242
55,Female,PhD,Lawyer,31,Mid-size,8152869
43,Female,Bachelors,Accountant,22,Mid-size,1864625
27,Female,High School,Lawyer,5,MNC,2093495
23,Female,Masters,Doctor,1,MNC,4024797
55,Male,Masters,Software Engineer,31,Startup,2920413
43,Male,High School,Lawyer,19,Startup,2985594
31,Male,High School,Doctor,8,Mid-size,2635476
41,Male,PhD,Data Scientist,19,MNC,4473824
43,Male,High School,Accountant,20,MNC,1825614
43,Female,High School,Doctor,19,MNC,5051697
49,Male,High School,Data Scientist,27,MNC,3660004
24,Male,PhD,Accountant,0,Startup,933303
56,Male,PhD,Doctor,34,MNC,11099530
